#####################################################################
# Alchemist log file - simulation started at: 2024-06-14T13:16+0000 #
#####################################################################
#
# seed = 4.0, spacing = 1, error = 0.5, globalRound = 10
#
# The columns have the following meaning: 
# time Reward[min] Reward[max] Reward[mean] Reward[variance] MeanDistance[min] MeanDistance[max] MeanDistance[mean] MeanDistance[variance] 
0.0 NaN NaN NaN NaN NaN NaN NaN NaN
0.1 NaN NaN NaN NaN NaN NaN NaN NaN
1.1 -2.204557071090256 -0.8523932637940261 -1.1642937498710864 0.04909896468656486 0.9004015109573942 1.66720017152631 1.0969914235146478 0.014890118011122859
2.1 -2.1230194481402145 -0.7979698859911861 -1.1293930932760674 0.05142042497428105 0.8605648568614697 1.6207744458779225 1.0757743426584343 0.014158243498179329
3.1 -2.0232231810639636 -0.7521305877284923 -1.1064196857563005 0.04919196103800364 0.8275248594075842 1.5818657239261877 1.0548594430397575 0.013770590843651353
4.1 -1.9234460834225755 -0.7265887550984995 -1.083832136737465 0.04477078123325555 0.8235707467137864 1.5225294494801545 1.0360293569188717 0.013913600911126174
5.1 -1.920618811418665 -0.7344474988069483 -1.0652611243398182 0.044559326416705534 0.7640426812725984 1.493269825252383 1.0164956466973536 0.014622894036669543
6.1 -1.8207241523090716 -0.7044530521135295 -1.0480593188110185 0.04288166520675561 0.7525447083298182 1.4447424754430667 0.9998966383583149 0.015471460484450182
7.1 -1.8088576614244374 -0.6933567857301708 -1.0339089963725114 0.044951353075692535 0.7305570621433082 1.3967537930569591 0.984501964691569 0.016202633789003103
8.1 -1.7208404556619792 -0.6841464014666401 -1.0151495915041935 0.04478591900186288 0.6744381815371333 1.3606525902673847 0.9672047170621478 0.017804970831355266
9.1 -1.7190176993054955 -0.6697953260053082 -0.9961125744834198 0.04352767466419832 0.6389321209494866 1.3330087710298528 0.9460984764464271 0.019541661405837404
10.1 -1.6870797048948156 -0.6635745697026034 -0.9811913311764391 0.043143837642942814 0.601500022297185 1.3331391305201503 0.9260220354859279 0.02212804066577706
11.1 -1.6184971159642507 -0.6123099008060675 -0.967993629163977 0.04021091940795837 0.5378862590494575 1.3460604281305393 0.9043419085409806 0.023975256635509853
12.1 -1.5949495120639918 -0.6361287549559773 -0.9499077588515703 0.04321995028109922 0.5327377547995684 1.343377720240365 0.884506474273025 0.02668760935040769
13.1 -1.542414427502846 -0.6194026554194849 -0.9253180004828423 0.04076637363773712 0.4769279888249084 1.3405384363494104 0.8653393496380933 0.029279321981217188
14.1 -1.4936390755245916 -0.5294253014984127 -0.9096744619239935 0.043410494676770044 0.4728196849853542 1.3454053275083484 0.842929769325425 0.032043220213052614
15.1 -1.4892860353946664 -0.503353469520688 -0.8925954249205565 0.046529778174642426 0.4639463722305409 1.3357741105842158 0.8210567296161462 0.035282749130622126
16.1 -1.4726808713798087 -0.49207064523985483 -0.8629725206444077 0.051401446838726696 0.428382537493322 1.3067336585544362 0.7990806443854672 0.03901926248583741
17.1 -1.4296744855420385 -0.390964089254589 -0.8313317967215936 0.05533080685113504 0.3966636149682655 1.301567348297366 0.7750904659369074 0.043247187678771906
18.1 -1.4226009533722745 -0.3954536938125756 -0.8036301143588324 0.062490935303139726 0.3382245733019396 1.3201479167457357 0.7473347468861669 0.04937937232389405
19.1 -1.4130169571335653 -0.29693624335706437 -0.7818445353282842 0.07513117927779679 0.29015142334577215 1.3451746253019308 0.716296016045699 0.05731340337574467
20.1 -1.4096004330628884 -0.28499900893103286 -0.7491304989126323 0.08417578870425653 0.24178130417907462 1.3644877910922362 0.6875355584538202 0.06445708063482741
21.1 -1.490206286602321 -0.26445075853374816 -0.7198814034908944 0.09539301382158503 0.21219243465647525 1.3970528824695354 0.6570464944325135 0.07570205493058019
22.1 -1.5250212698275334 -0.22141550483706374 -0.6958831252555432 0.10268165872188657 0.15281125466049966 1.4031787125933657 0.6271460092484433 0.08521748126625674
23.1 -1.5829150514062522 -0.1744685016912501 -0.6702322780936101 0.1159724087225281 0.12127939300964052 1.4568954406815282 0.5949968475463349 0.09455583728518134
24.1 -1.5905627270919311 -0.1451458690776572 -0.6253908694361443 0.12417923840312634 0.09318171058139843 1.4805358944923808 0.5649875992129898 0.10392755823245448
25.1 -1.6178539056987276 -0.07938696062773576 -0.6004822669755878 0.13281011370395324 0.06576469031128288 1.5280599385356957 0.5341918144522642 0.10919794344466853
26.1 -1.5958068028793595 -0.11535398702895983 -0.5676217066378956 0.13474958381211832 0.04702897252998538 1.533121892340123 0.5035171150865353 0.11278525505144378
